Rec,Dynamic Programming
1.71E-07,3.77E-06
0.00136208,0.000111509
0.0376,0.000981953
0.0357124,0.000407427
0.0186636,0.00236548
0.0162,0.00168908
0.0737679,0.00283839
0.231449,0.00251271
0.0281904,0.000540282
0.00496079,0.00305361
0.0231862,0.00275662
0.01729,0.00537449
0.477846,0.00507251
0.0725503,0.00440742
0.0195955,0.00262599
0.026522,0.00328652
0.268652,0.00465492
0.0569702,0.00844301
0.192987,0.00377703
0.0243813,0.0101193
0.077967,0.00773211
0.0968691,0.00109492
0.0742656,0.0060202
0.0664994,0.00629148
0.161302,0.00595807
0.608716,0.0118984
0.137041,0.0072701
0.482462,0.0022853
0.0913974,0.00281449
0.136422,0.00605763
0.042097,0.0102066
0.0275699,0.014014
0.107578,0.00166157
0.0257904,0.00383883
0.0432689,0.00923341
0.0176457,0.0142354
0.215603,0.0195318
0.228734,0.010477
0.306684,0.0140857
0.0442619,0.00657327
0.159502,0.0147159
0.402326,0.00415071
0.0221598,0.000289987
0.0705985,0.00662838
0.0152867,0.00321854
0.218952,0.0118435
0.361866,0.0125229
0.0537419,0.0183702
0.000423202,0.0226523
0.199,0.0135724
0.283359,0.0252273
0.310893,0.0201148
0.419795,0.0171783
0.429273,0.00431659
0.169336,0.0256679
0.150923,0.0228651
0.338696,0.00346357
0.157475,0.0118239
0.0426997,0.0200086
0.479932,0.0165408
0.154681,0.0185918
0.258769,0.00705647
0.366759,0.0266752
0.0496592,0.0128646
0.126385,0.00714381
0.124035,0.0221614
0.120816,0.0227842
0.110445,0.00509683
0.12622,0.0170835
0.0197396,0.0268942
0.131481,0.0276095
0.334859,0.0106385
0.331487,0.0363039
0.0817794,0.0182139
0.111918,0.0370127
0.0681171,0.0288172
0.0406162,0.0216796
0.813015,0.0202459
0.0536462,0.0176374
0.0844421,0.00964239
0.182703,0.0245329
0.72484,0.00480136
0.0244385,0.0318058
0.151693,0.0222845
0.53532,0.0333876
0.134483,0.025865
0.750073,0.018593
0.218449,0.00568811
0.255418,0.0221215
0.00892063,0.0478281
0.560042,0.0276786
0.699022,0.036308
0.558755,0.000760683
1.50258,0.0344269
0.157297,0.0197053
0.209131,0.0389137
0.509709,0.00819758
0.446243,0.0196475
0.21356,0.0429188
0.652768,0.0205422
2.33081,0.0346643
0.413924,0.0155919
0.092268,0.0343545
0.0177503,0.0469434
0.393253,0.0222703
0.0514781,0.0250389
0.0118202,0.010973
0.659269,0.0214732
1.20769,0.0261347
0.48151,0.015267
0.236422,0.0238796
0.0476571,0.0573153
0.132834,0.017219
0.463566,0.0343079
0.0480647,0.0479023
1.49857,0.0102553
0.0892853,0.0239166
0.628551,0.00557999
0.856074,0.0306083
0.667494,0.00448002
0.710413,0.0403035
0.872508,0.0550925
0.817571,0.0159365
0.476673,0.0229868
